timestamp,decision,process,reason,details
2025-08-14T13:08:01.2704249-07:00,DENY,AggregatorHost.exe,denyList,policy
2025-08-14T13:08:01.2933272-07:00,DENY,amdfendrsr.exe,denyList,policy
2025-08-14T13:08:01.3223573-07:00,DENY,AppHelperCap.exe,denyList,policy
2025-08-14T13:08:01.3489837-07:00,DENY,atieclxx.exe,denyList,policy
2025-08-14T13:08:01.3762497-07:00,DENY,atiesrxx.exe,denyList,policy
2025-08-14T13:08:01.4040927-07:00,DENY,audiodg.exe,denyList,policy
2025-08-14T13:08:01.4279797-07:00,DENY,BridgeCommunication.exe,denyList,policy
2025-08-14T13:08:01.4509268-07:00,DENY,conhost.exe,denyList,policy
2025-08-14T13:08:01.4816714-07:00,DENY,conhost.exe,denyList,policy
2025-08-14T13:08:01.5015604-07:00,DENY,conhost.exe,denyList,policy
2025-08-14T13:08:01.5216948-07:00,DENY,conhost.exe,denyList,policy
2025-08-14T13:08:01.5450410-07:00,DENY,CrossDeviceResume.exe,denyList,policy
2025-08-14T13:08:01.5883659-07:00,DENY,csrss.exe,denyList,policy
2025-08-14T13:08:01.6295116-07:00,DENY,csrss.exe,denyList,policy
2025-08-14T13:08:01.6512349-07:00,DENY,ctfmon.exe,denyList,policy
2025-08-14T13:08:01.6748174-07:00,DENY,DiagsCap.exe,denyList,policy
2025-08-14T13:08:01.7073955-07:00,DENY,dllhost.exe,denyList,policy
2025-08-14T13:08:01.7418558-07:00,DENY,dwm.exe,denyList,policy
2025-08-14T13:08:01.7807757-07:00,DENY,ELAN_MOC_Service.exe,denyList,policy
2025-08-14T13:08:01.8986673-07:00,DENY,expressvpnd.exe,denyList,policy
2025-08-14T13:08:01.9279296-07:00,DENY,fontdrvhost.exe,denyList,policy
2025-08-14T13:08:01.9641422-07:00,DENY,fontdrvhost.exe,denyList,policy
2025-08-14T13:08:02.0013824-07:00,DENY,HPAudioSwitch.exe,denyList,policy
2025-08-14T13:08:02.0469682-07:00,DENY,HPCommRecovery.exe,denyList,policy
2025-08-14T13:08:02.1019006-07:00,DENY,HPMediaNetwork.exe,denyList,policy
2025-08-14T13:08:02.1428615-07:00,DENY,hp-one-agent-service.exe,denyList,policy
2025-08-14T13:08:02.2138895-07:00,DENY,HPSystemEventUtilityBackground.exe,denyList,policy
2025-08-14T13:08:02.2489808-07:00,DENY,HPSystemEventUtilityHost.exe,denyList,policy
2025-08-14T13:08:02.3138763-07:00,DENY,Idle.exe,denyList,policy
2025-08-14T13:08:02.4578726-07:00,DENY,LsaIso.exe,denyList,policy
2025-08-14T13:08:02.6306825-07:00,DENY,lsass.exe,denyList,policy
2025-08-14T13:08:02.7084862-07:00,DENY,Memory Compression.exe,denyList,policy
2025-08-14T13:08:02.7845392-07:00,DENY,MicrosoftEdgeUpdate.exe,denyList,policy
2025-08-14T13:08:02.8994981-07:00,DENY,MpDefenderCoreService.exe,denyList,policy
2025-08-14T13:08:02.9457336-07:00,DENY,msedgewebview2.exe,denyList,policy
2025-08-14T13:08:02.9850072-07:00,DENY,msedgewebview2.exe,denyList,policy
2025-08-14T13:08:03.0332835-07:00,DENY,msedgewebview2.exe,denyList,policy
2025-08-14T13:08:03.1103116-07:00,DENY,msedgewebview2.exe,denyList,policy
2025-08-14T13:08:03.1357252-07:00,DENY,msedgewebview2.exe,denyList,policy
2025-08-14T13:08:03.1764844-07:00,DENY,msedgewebview2.exe,denyList,policy
2025-08-14T13:08:03.2336800-07:00,DENY,MsMpEng.exe,denyList,policy
2025-08-14T13:08:03.3027045-07:00,DENY,NetworkCap.exe,denyList,policy
2025-08-14T13:08:03.3320565-07:00,DENY,NgcIso.exe,denyList,policy
2025-08-14T13:08:03.3751404-07:00,DENY,NisSrv.exe,denyList,policy
2025-08-14T13:08:03.4264887-07:00,DENY,nssm.exe,denyList,policy
2025-08-14T13:08:03.4594532-07:00,DENY,OfficeClickToRun.exe,denyList,policy
2025-08-14T13:08:03.4989302-07:00,DENY,pg_ctl.exe,denyList,policy
2025-08-14T13:08:03.5371423-07:00,DENY,pgagent.exe,denyList,policy
2025-08-14T13:08:03.5779233-07:00,DENY,pgbouncer.exe,denyList,policy
2025-08-14T13:08:03.6195188-07:00,DENY,PhoneExperienceHost.exe,denyList,policy
2025-08-14T13:08:03.6640306-07:00,DENY,postgres.exe,denyList,policy
2025-08-14T13:08:03.7217258-07:00,DENY,postgres.exe,denyList,policy
2025-08-14T13:08:03.7872480-07:00,DENY,postgres.exe,denyList,policy
2025-08-14T13:08:03.8468539-07:00,DENY,postgres.exe,denyList,policy
2025-08-14T13:08:03.9086459-07:00,DENY,postgres.exe,denyList,policy
2025-08-14T13:08:04.0069706-07:00,DENY,postgres.exe,denyList,policy
2025-08-14T13:08:04.0486951-07:00,DENY,postgres.exe,denyList,policy
2025-08-14T13:08:04.0986682-07:00,DENY,postgres.exe,denyList,policy
2025-08-14T13:08:04.1414371-07:00,DENY,Registry.exe,denyList,policy
2025-08-14T13:08:04.2244415-07:00,DENY,RtkAudUService64.exe,denyList,policy
2025-08-14T13:08:04.2642533-07:00,DENY,RtkAudUService64.exe,denyList,policy
2025-08-14T13:08:04.3094663-07:00,DENY,RtkAudUService64.exe,denyList,policy
2025-08-14T13:08:04.4091838-07:00,DENY,RtkBtManServ.exe,denyList,policy
2025-08-14T13:08:04.4604370-07:00,DENY,RuntimeBroker.exe,denyList,policy
2025-08-14T13:08:04.4942685-07:00,DENY,RuntimeBroker.exe,denyList,policy
2025-08-14T13:08:04.5391919-07:00,DENY,RuntimeBroker.exe,denyList,policy
2025-08-14T13:08:04.5807002-07:00,DENY,RuntimeBroker.exe,denyList,policy
2025-08-14T13:08:04.6412518-07:00,DENY,RuntimeBroker.exe,denyList,policy
2025-08-14T13:08:04.6803581-07:00,DENY,RuntimeBroker.exe,denyList,policy
2025-08-14T13:08:04.7240688-07:00,DENY,SearchHost.exe,denyList,policy
2025-08-14T13:08:04.7686325-07:00,DENY,SearchIndexer.exe,denyList,policy
2025-08-14T13:08:04.8203797-07:00,DENY,SearchProtocolHost.exe,denyList,policy
2025-08-14T13:08:04.8751316-07:00,DENY,SearchProtocolHost.exe,denyList,policy
2025-08-14T13:08:04.9002349-07:00,DENY,SECOCL64.exe,denyList,policy
2025-08-14T13:08:04.9475758-07:00,DENY,SECOMN64.exe,denyList,policy
2025-08-14T13:08:04.9886721-07:00,DENY,Secure System.exe,denyList,policy
2025-08-14T13:08:05.0318442-07:00,DENY,SecurityHealthService.exe,denyList,policy
2025-08-14T13:08:05.0591495-07:00,DENY,SecurityHealthSystray.exe,denyList,policy
