"issue","file","line","snippet"
"Dangerous Delete","node_modules/@grpc/proto-loader/package.json","28","""""validate-golden"""": """"rm -rf ./golden-generated-old && mv ./golden-generated/ ./golden-generated-old && npm run generate-golden && diff -rb ./golden-generated ./golden-generated-old"""""
"Dangerous Delete","node_modules/emoji-regex/package.json","37","""""build"""": """"rm -rf -- es2015; babel src -d .; NODE_ENV=es2015 babel src -d ./es2015; node script/inject-sequences.js"""","
"Hardcoded Host",".github/workflows/ci.yml","30","until node -e """"require('net').connect(8891,'127.0.0.1').on('connect',()=>{console.log('ok');process.exit(0)}).on('error',()=>process.exit(1))"""" ; do"
"Hardcoded Host",".github/workflows/ci.yml","37","node scripts/remote-compile.js --url 127.0.0.1:8891 --auth localtest --in examples/hello.fab --out out/hello.remote.ir.json --target sol"
"Hardcoded Host","node_modules/yargs-parser/package.json","26","""""test:browser"""": """"start-server-and-test 'serve ./ -p 8080' http://127.0.0.1:8080/package.json 'node ./test/browser/yargs-test.cjs'"""","
"Insecure URL","node_modules/lodash.camelcase/package.json","9","""""author"""": """"John-David Dalton <john.david.dalton@gmail.com> (http://allyoucanleet.com/)"""","
"Insecure URL","node_modules/lodash.camelcase/package.json","11","""""John-David Dalton <john.david.dalton@gmail.com> (http://allyoucanleet.com/)"""","
"Insecure URL","node_modules/require-directory/package.json","2","""""author"""": """"Troy Goode <troygoode@gmail.com> (http://github.com/troygoode/)"""","
"Insecure URL","node_modules/require-directory/package.json","22","""""web"""": """"http://github.com/troygoode/"""""
"Insecure URL","node_modules/require-directory/package.json","27","""""url"""": """"http://github.com/troygoode/node-require-directory/issues/"""""
"Insecure URL","node_modules/yargs-parser/package.json","26","""""test:browser"""": """"start-server-and-test 'serve ./ -p 8080' http://127.0.0.1:8080/package.json 'node ./test/browser/yargs-test.cjs'"""","
"Insecure URL","tools/model_manifest.schema.json","2","""""$schema"""": """"http://json-schema.org/draft-07/schema#"""","
"Mock/Sim","artifacts/reports/supernet_logic_report.json","7001","""""path"""":  """"node_modules/undici-types/mock-agent.d.ts"""","
"Mock/Sim","artifacts/reports/supernet_logic_report.json","7008","""""path"""":  """"node_modules/undici-types/mock-call-history.d.ts"""","
"Mock/Sim","artifacts/reports/supernet_logic_report.json","7015","""""path"""":  """"node_modules/undici-types/mock-client.d.ts"""","
"Mock/Sim","artifacts/reports/supernet_logic_report.json","7022","""""path"""":  """"node_modules/undici-types/mock-errors.d.ts"""","
"Mock/Sim","artifacts/reports/supernet_logic_report.json","7029","""""path"""":  """"node_modules/undici-types/mock-interceptor.d.ts"""","
"Mock/Sim","artifacts/reports/supernet_logic_report.json","7036","""""path"""":  """"node_modules/undici-types/mock-pool.d.ts"""","
"Mock/Sim","artifacts/reports/supernet_logic_report.json","7774","""""path"""":  """"runtime/policy_stub.cpp"""","
"Mock/Sim","artifacts/reports/supernet_logic_report.json","7801","""""path"""":  """"runtime/treasury_stub.cpp"""","
"Mock/Sim","artifacts/reports/supernet_logic_report.json","7881","""""path"""":  """"simulated_logs/AtomicMemoryDBAgent.log"""","
"Mock/Sim","artifacts/reports/supernet_logic_report.json","7888","""""path"""":  """"simulated_logs/DroneAgent.log"""","
"Mock/Sim","artifacts/reports/supernet_logic_report.json","7895","""""path"""":  """"simulated_logs/FabricGovernor.log"""","
"Mock/Sim","artifacts/reports/supernet_logic_report.json","7902","""""path"""":  """"simulated_logs/LaptopAgent.log"""","
"Mock/Sim","artifacts/reports/supernet_logic_report.json","7909","""""path"""":  """"simulated_logs/NetworkAgent.log"""","
"Mock/Sim","artifacts/reports/supernet_logic_report.json","7916","""""path"""":  """"simulated_logs/SmartphoneAgent.log"""","
"Mock/Sim","artifacts/reports/supernet_logic_report.json","7923","""""path"""":  """"simulated_logs/WiFiAgent.log"""","
"Mock/Sim","artifacts/reports/supernet_logic_report.json","8353","""""runtime/policy_stub.cpp"""","
"Mock/Sim","artifacts/reports/supernet_logic_report.json","8356","""""runtime/treasury_stub.cpp"""""
"Mock/Sim","scripts/smoke.bat","9","set FAB_TREASURY_MODE=stub"
"Mock/Sim","scripts/smoke.bat","10","set FAB_POLICY_MODE=stub"
"Mock/Sim","scripts/smoke.sh","10","FAB_TREASURY_MODE=stub FAB_POLICY_MODE=stub ./agents/FabricGovernor/build/FabricGovernor || true"
"Sim Logs Ref","artifacts/reports/supernet_logic_report.json","7881","""""path"""":  """"simulated_logs/AtomicMemoryDBAgent.log"""","
"Sim Logs Ref","artifacts/reports/supernet_logic_report.json","7888","""""path"""":  """"simulated_logs/DroneAgent.log"""","
"Sim Logs Ref","artifacts/reports/supernet_logic_report.json","7895","""""path"""":  """"simulated_logs/FabricGovernor.log"""","
"Sim Logs Ref","artifacts/reports/supernet_logic_report.json","7902","""""path"""":  """"simulated_logs/LaptopAgent.log"""","
"Sim Logs Ref","artifacts/reports/supernet_logic_report.json","7909","""""path"""":  """"simulated_logs/NetworkAgent.log"""","
"Sim Logs Ref","artifacts/reports/supernet_logic_report.json","7916","""""path"""":  """"simulated_logs/SmartphoneAgent.log"""","
"Sim Logs Ref","artifacts/reports/supernet_logic_report.json","7923","""""path"""":  """"simulated_logs/WiFiAgent.log"""","
"Sudo",".github/workflows/build.yml","13","run: sudo apt-get update && sudo apt-get install -y cmake g++ python3"
"Sudo","tooling/ci/.github/workflows/ci.yml","9","run: sudo apt-get update && sudo apt-get install -y cmake ninja-build g++"
"TODO/FIXME","node_modules/yargs/index.cjs","14","// TODO(bcoe): warn if argv.parse() or argv.argv is used directly."
